id,title,description,price,location
90,Cape of Shadows,Allows the wearer to blend into the darkness,110,SA
91,Sword of Valor,A legendary sword with magical powers,150,JO
92,Shield of Aegis,An indestructible shield imbued with ancient runes,120,SA
93,Potion of Healing,Restores health completely over 5 seconds,20,JO
94,Mystic Wand,Casts powerful spells to defeat foes,200,SA
95,Ring of Invisibility,Grants temporary invisibility,75,JO
96,Helmet of Courage,Boosts defense and confidence in battle,95,SA
97,Armor of Fortitude,Provides excellent protection against attacks,250,JO
98,Boots of Speed,Increases movement speed significantly,85,SA
99,Gloves of Dexterity,Enhances manual dexterity and accuracy,60,JO
100,Cape of Shadows,Allows the wearer to blend into the darkness,110,SA
